Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.32854E-4,10.257286153,0.205331992,0.088211788,0,0
2.41283E-4,10.518789126,0.211916062,0.087112887,0,0
2.47607E-4,10.763366629,0.21681967,0.086113886,0,0
2.52928E-4,11.01420806,0.220921637,0.085114885,0,0
2.57799E-4,11.270530625,0.224658891,0.084115884,0,0
2.6827E-4,11.506352507,0.232630791,0.083216783,0,0
2.73067E-4,11.75080972,0.236255041,0.082317682,0,0
2.80388E-4,12.027968565,0.241753769,0.081318681,0,0
2.85593E-4,12.254525457,0.245639444,0.080519481,0,0
2.9566E-4,12.515142136,0.253098068,0.07962038,0,0
3.01093E-4,12.75411481,0.257092604,0.078821179,0,0
3.09401E-4,13.029770749,0.263159374,0.077922078,0,0
3.18375E-4,13.281752999,0.269657511,0.077122877,0,0
3.2096E-4,13.506178339,0.2715185,0.076423576,0,0
3.27543E-4,13.765464414,0.276236029,0.075624376,0,0
3.33851E-4,14.031363624,0.28072848,0.074825175,0,0
3.37811E-4,14.266129845,0.283533988,0.074125874,0,0
3.43125E-4,14.505110936,0.28728216,0.073426573,0,0
3.48436E-4,14.781548275,0.291008855,0.072627373,0,0
3.5261E-4,15.026741991,0.293923297,0.071928072,0,0
3.61021E-4,15.276136035,0.29976129,0.071228771,0,0
3.68602E-4,15.531095619,0.304981122,0.070529471,0,0
3.74977E-4,15.754511541,0.309340273,0.06993007,0,0
3.79866E-4,16.019460791,0.312665061,0.069230769,0,0
3.89694E-4,16.250411605,0.319300485,0.068631369,0,0
3.97413E-4,16.526667229,0.324466605,0.067932068,0,0
4.07721E-4,16.767799735,0.331304831,0.067332667,0,0
4.13372E-4,17.014564425,0.33502449,0.066733267,0,0
4.19525E-4,17.265163627,0.339050678,0.066133866,0,0
4.24825E-4,17.518960048,0.342499384,0.065534466,0,0
4.26788E-4,17.774319071,0.34377201,0.064935065,0,0
4.34402E-4,18.032878555,0.348684617,0.064335664,0,0
4.37799E-4,18.250997428,0.350865115,0.063836164,0,0
4.4302E-4,18.515656192,0.354201771,0.063236763,0,0
4.47785E-4,18.783848037,0.357231487,0.062637363,0,0
4.56698E-4,19.010571126,0.362861356,0.062137862,0,0
4.62569E-4,19.286775748,0.366542886,0.061538462,0,0
4.71405E-4,19.521091446,0.372043331,0.061038961,0,0
4.82616E-4,19.760457131,0.378953656,0.060539461,0,0
4.87115E-4,20.003049983,0.381705597,0.06003996,0,0
4.97763E-4,20.29908408,0.388169545,0.059440559,0,0
5.07579E-4,20.549677918,0.394068848,0.058941059,0,0
5.12217E-4,20.753861341,0.396836454,0.058541459,0,0
5.17982E-4,21.012031327,0.400258795,0.058041958,0,0
5.23377E-4,21.272377769,0.403443869,0.057542458,0,0
5.26057E-4,21.534812869,0.405019711,0.057042957,0,0
5.28287E-4,21.79850682,0.406327738,0.056543457,0,0
5.3677E-4,22.011796584,0.411277657,0.056143856,0,0
5.4553E-4,22.282448682,0.41634587,0.055644356,0,0
5.47122E-4,22.500987853,0.417262283,0.055244755,0,0
5.53262E-4,22.77570711,0.42078328,0.054745255,0,0
5.59032E-4,23.054402729,0.424072526,0.054245754,0,0
5.64554E-4,23.279384719,0.427202833,0.053846154,0,0
5.70905E-4,23.506740707,0.430782262,0.053446553,0,0
5.73734E-4,23.793017002,0.432369672,0.052947053,0,0
